term,sub_grade,grade,emp_length,issue_y,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,loan_status
36 months,C3,C,2 years,15,80,13.33,338.54,54368,38,4730,100,2,32000,10000,Fully Paid
36 months,A3,A,10+ years,15,99.1,6.99,216.11,202487,14.5,21078,100,2,61000,7000,Fully Paid
36 months,A4,A,< 1 year,15,69.8,7.49,217.72,36576,22.41,2529,100,2,45000,7000,Fully Paid
36 months,A2,A,10+ years,15,52.4,6.24,549.56,382611,15.04,16072,100,10,112000,18000,Fully Paid
36 months,B2,B,2 years,15,64.3,9.17,356.25,57598,23.16,4761,100,3,50000,11175,Fully Paid
60 months,C2,C,10+ years,15,49.2,12.69,279.05,481235,22.7,48086,100,4,70000,12350,Fully Paid
36 months,A3,A,4 years,15,11.1,6.68,614.62,111371,18.34,3337,100,7,77000,20000,Fully Paid
60 months,D5,D,10+ years,15,79.6,17.86,632.94,143541,30.88,13283,100,8,70000,25000,Fully Paid
36 months,A5,A,3 years,15,62.5,7.89,250.29,73795,16.95,8968,100,1,40000,8000,Fully Paid
60 months,B4,B,2 years,15,30.7,10.99,239.12,142422,10.11,15911,100,3,40000,11000,Charged Off
60 months,B3,B,2 years,15,10.9,9.99,743.48,1475957,5.46,84123,100,6,275000,35000,Fully Paid
36 months,C2,C,1 year,15,55,12.88,201.82,25404,29.14,1341,56,9,21000,6000,Fully Paid
36 months,A4,A,10+ years,15,25.2,7.26,278.97,23400,10.27,368,100,8,32600,9000,Charged Off
60 months,C3,C,3 years,15,78.7,13.33,343.84,178391,30.6,16297,100,4,48000,15000,Charged Off
36 months,B2,B,10+ years,15,32.2,9.17,318,113543,31.54,4445,100,6,74500,9975,Fully Paid
36 months,B2,B,5 years,15,77.1,9.49,272.25,24177,9.26,1759,100,1,46000,8500,Fully Paid
36 months,E3,E,10+ years,15,53.4,19.52,243.67,64837,19.18,1439,100,7,58000,6600,Fully Paid
60 months,B4,B,5 years,15,83.4,10.99,413.02,60937,13.55,8087,100,2,120000,19000,Fully Paid
60 months,B3,B,10+ years,15,97.1,9.99,743.48,43000,12.11,21149,100,1,110000,35000,Fully Paid
60 months,C5,C,< 1 year,15,63.8,14.65,283.28,68629,35.28,5653,100,5,40000,12000,Charged Off
60 months,C2,C,3 years,15,57.8,12.59,450.88,37133,6.74,2326,100,8,95000,20000,Fully Paid
60 months,A5,A,10+ years,15,39.1,7.89,434.82,102100,34.09,3938,100,6,52000,21500,Charged Off
36 months,B1,B,2 years,15,58.1,8.18,518.43,67547,18.11,5264,100,2,45000,16500,Fully Paid
36 months,A3,A,3 years,15,25.2,6.89,308.27,111024,11.9,4489,100,6,109000,10000,Fully Paid
36 months,B2,B,10+ years,15,58.9,9.17,270.98,103000,8.18,18647,100,1,32000,8500,Fully Paid
36 months,A1,A,10+ years,15,14.4,5.93,759.76,479006,9.74,38028,100,2,69000,25000,Fully Paid
36 months,A2,A,2 years,15,30.7,6.39,458.99,178300,6.55,8707,100,9,62000,15000,Fully Paid
36 months,B5,B,5 years,15,85.8,11.22,262.75,34488,23.78,3845,78,5,32000,8000,Charged Off
36 months,C3,C,9 years,15,90.7,13.33,749.85,218350,20.19,22895,100,0,63000,22150,Fully Paid
60 months,C5,C,< 1 year,15,87.2,14.85,497.94,55206,22.44,1990,54,6,75000,21000,Charged Off
36 months,A5,A,3 years,15,78.6,7.89,375.43,293761,24.46,14499,100,1,90000,12000,Fully Paid
36 months,C1,C,3 years,15,80.6,12.29,500.3,499414,19.88,33134,100,5,94000,15000,Fully Paid
36 months,B3,B,6 years,15,32.2,9.99,258.1,20415,3.79,637,100,2,45000,8000,Fully Paid
36 months,A3,A,5 years,15,43.4,6.89,308.27,282447,21.8,18187,100,4,80000,10000,Fully Paid
36 months,C4,C,< 1 year,15,82.6,14.31,394.78,56715,25.73,3485,100,9,34000,11500,Fully Paid
36 months,C1,C,< 1 year,15,88.6,12.39,273.89,8400,12.29,1862,100,1,20400,8200,Fully Paid
36 months,A1,A,,15,27.9,5.32,436.67,99713,27.01,4289,100,1,39994,14500,Charged Off
36 months,C2,C,2 years,15,50.6,12.69,335.45,83979,14.82,7736,100,5,60000,10000,Fully Paid
36 months,A4,A,3 years,15,36,7.26,303.77,110007,22.88,4062,100,6,60000,9800,Fully Paid
36 months,B4,B,,15,75,10.99,163.67,25432,22.13,1086,100,2,27000,5000,Fully Paid
36 months,A2,A,8 years,15,49.7,6.39,611.98,170412,13.66,6272,100,1,130000,20000,Charged Off
36 months,A5,A,6 years,15,36.6,7.89,250.29,68647,15.98,4837,100,4,75000,8000,Fully Paid
36 months,C4,C,3 years,15,59.4,13.99,410.08,44685,18.24,1559,100,6,50000,12000,Fully Paid
36 months,C3,C,10+ years,15,60.8,13.33,507.8,135629,21.52,9067,100,4,130000,15000,Fully Paid
60 months,B4,B,5 years,15,13.2,10.64,316.99,159844,21.99,6198,100,9,30000,14700,Fully Paid
36 months,A2,A,10+ years,15,56.9,6.24,854.87,274492,20.25,10953,100,6,96000,28000,Fully Paid
60 months,C4,C,10+ years,15,50,14.31,234.3,39861,18.85,3139,100,8,45000,10000,Charged Off
36 months,B3,B,5 years,15,46.8,9.99,317.79,105098,24.72,5290,100,4,53278,9850,Fully Paid
60 months,D5,D,10+ years,15,32.3,17.86,278.5,179815,27.7,9027,100,7,75000,11000,Fully Paid
36 months,A1,A,9 years,15,44.5,5.32,662.53,47342,9.91,4102,100,1,105000,22000,Fully Paid
36 months,A1,A,1 year,15,46.2,5.32,240.92,255776,28.31,11392,100,4,80000,8000,Fully Paid
60 months,D2,D,10+ years,15,98.4,16.55,590.68,135447,19.48,6036,100,5,140000,24000,Fully Paid
36 months,B5,B,,15,36.9,11.53,316.71,34467,27.89,773,100,2,20000,9600,Late (31-120 days)
36 months,B4,B,2 years,15,60.8,10.99,261.88,94931,28.13,5226,100,2,55000,8000,Fully Paid
36 months,C1,C,1 year,15,71.1,12.39,668.02,26209,9.4,1710,100,4,75100,20000,Charged Off
36 months,A1,A,10+ years,15,47.9,5.32,421.61,154475,17.29,7323,100,5,85000,14000,Fully Paid
36 months,C4,C,< 1 year,15,46.7,13.99,287.06,46500,35.25,1975,100,4,19200,8400,Fully Paid
36 months,C1,C,,15,85,12.29,260.16,6986,11.94,1193,100,7,32000,7800,Fully Paid
36 months,B3,B,1 year,15,60.7,9.99,161.32,91050,18.48,5302,100,6,30000,5000,Fully Paid
36 months,B4,B,6 years,15,56.3,10.99,366.63,59615,17.96,8282,100,2,62000,11200,Fully Paid
36 months,D5,D,10+ years,15,90.9,17.86,1262.88,404166,19.63,30695,100,4,105000,35000,Fully Paid
60 months,C4,C,3 years,15,40,14.31,702.88,95169,25.76,11705,100,1,90000,30000,Fully Paid
36 months,A1,A,7 years,15,17.6,5.32,602.3,279106,16.84,10927,100,8,70000,20000,Fully Paid
60 months,E1,E,9 years,15,96.3,18.25,400.18,345005,30.68,24002,100,3,60000,15675,Charged Off
36 months,A3,A,9 years,15,55.2,6.89,369.93,332010,27.7,13790,100,7,65000,12000,Fully Paid
36 months,B3,B,10+ years,15,54.7,9.99,677.52,341050,11.21,24283,100,2,125000,21000,Fully Paid
36 months,A2,A,,15,29.5,6.24,305.31,185834,16.46,7646,100,4,80000,10000,Fully Paid
36 months,B4,B,3 years,15,63.3,10.99,752.89,58152,14.52,2758,100,1,90000,23000,Fully Paid
60 months,B3,B,10+ years,15,31.5,9.99,531.06,343500,27.39,11045,100,4,50000,25000,Fully Paid
36 months,C3,C,2 years,15,35.1,13.33,338.54,53628,20.93,4104,100,4,36000,10000,Fully Paid
36 months,B4,B,10+ years,15,45,10.99,261.88,54841,32.18,3676,100,3,27000,8000,Fully Paid
60 months,C4,C,7 years,15,40,13.67,808.42,154342,26.3,3137,100,14,105000,35000,Fully Paid
36 months,B2,B,8 years,15,44.4,9.17,245.47,30100,9.61,1485,100,3,60000,7700,Fully Paid
36 months,C2,C,,15,74.4,12.69,211.34,47500,10.71,3927,100,6,78990,6300,Fully Paid
60 months,C4,C,7 years,15,40.3,13.99,555.99,306823,17.47,12923,100,8,52000,23900,Charged Off
60 months,B1,B,1 year,15,16.7,8.18,285.08,239621,18.13,8630,100,10,55000,14000,Charged Off
36 months,B1,B,6 years,15,43.6,8.18,301.63,314498,15.4,17941,100,4,90000,9600,Fully Paid
36 months,B3,B,,15,32.4,9.8,102.96,105032,18.05,13041,48,7,24000,3200,Late (31-120 days)
36 months,C1,C,3 years,15,42.8,11.99,597.78,110072,20.68,4193,91,5,48000,18000,Charged Off
60 months,C2,C,5 years,15,10.4,12.69,623.62,56300,4.07,2999,100,3,278000,27600,Fully Paid
36 months,B2,B,1 year,15,44.1,9.17,255.04,75501,15.78,6485,100,4,61000,8000,Fully Paid
60 months,B3,B,5 years,15,57.4,9.99,594.78,362000,16.82,15422,100,5,130000,28000,Fully Paid
36 months,B1,B,,15,70.6,8.18,251.36,9300,8.69,1709,100,5,38000,8000,Charged Off
60 months,D1,D,< 1 year,15,75.9,15.77,545.02,68627,17.93,12354,76,2,49000,22525,Fully Paid
36 months,B1,B,5 years,15,54,8.18,879.75,69821,10.36,3469,100,5,103272,28000,Fully Paid
36 months,A2,A,2 years,15,70.5,6.24,183.19,11600,20.04,1331,100,2,17500,6000,Fully Paid
36 months,B3,B,8 years,15,79.2,9.99,903.35,424588,5.88,69108,100,1,120000,28000,Late (31-120 days)
36 months,B2,B,,15,54.7,9.17,302.85,15000,13.47,1097,100,3,31000,9500,Fully Paid
36 months,A5,A,5 years,15,89.7,7.89,938.57,91258,16.62,9056,100,0,150000,30000,Fully Paid
36 months,B5,B,2 years,15,75.2,11.53,197.95,73800,28.34,5076,100,7,45000,6000,Fully Paid
36 months,A4,A,< 1 year,15,65.2,7.26,774.91,345442,4.47,33404,100,5,104000,25000,Fully Paid
36 months,A4,A,4 years,15,81.2,7.26,619.93,892354,32.12,31389,100,3,165000,20000,Fully Paid
36 months,A2,A,5 years,15,56.9,6.24,854.87,101409,13.99,4583,100,3,115000,28000,Fully Paid
36 months,B1,B,10+ years,15,72.5,8.18,628.39,295633,30.54,11699,100,5,100000,20000,Fully Paid
36 months,B1,B,9 years,15,69.8,8.18,251.36,40786,18.95,3175,100,2,45000,8000,Fully Paid
36 months,C1,C,< 1 year,15,56.9,12.39,200.41,9400,10.71,765,100,4,25000,6000,Charged Off
36 months,B1,B,1 year,15,82.3,8.18,471.3,68784,13.31,3133,100,8,120000,15000,Charged Off
60 months,E2,E,3 years,15,79.9,18.55,359.72,66105,36.63,7202,100,6,40000,14000,Charged Off
36 months,D2,D,1 year,15,96.2,16.55,538.53,178418,16.57,9086,100,2,68000,15200,Fully Paid
36 months,B2,B,9 years,15,78.5,9.17,270.98,21356,11.89,2087,100,1,52000,8500,Fully Paid
60 months,E4,E,9 years,15,84.4,20.49,669.19,79116,17.32,5027,100,10,100000,25000,Fully Paid
36 months,C1,C,7 years,15,19.9,12.29,100.06,184285,5.98,20795,100,1,38000,3000,Charged Off
36 months,C5,C,1 year,15,46.3,14.65,34.5,54333,25.34,2871,100,5,35000,1000,Fully Paid
36 months,A1,A,4 years,15,49.7,5.93,607.81,206343,11.35,26161,100,1,100000,20000,Fully Paid
60 months,F1,F,10+ years,15,41.5,21.99,690.34,86929,22.01,1825,100,8,65000,25000,Fully Paid
36 months,A5,A,3 years,15,95.8,7.89,281.58,41311,26.44,10368,100,0,32000,9000,Fully Paid
36 months,C2,C,< 1 year,15,73.8,12.69,268.36,20022,23.62,1523,100,4,28000,8000,Fully Paid
36 months,C1,C,9 years,15,82,12.29,533.65,419778,28.56,29610,100,1,90000,16000,Fully Paid
36 months,A5,A,10+ years,15,57.4,7.89,234.65,104600,12.66,9828,100,3,40000,7500,Fully Paid
36 months,C4,C,3 years,15,78,13.99,387.87,29395,17.83,3568,100,6,32448,11350,Fully Paid
36 months,A4,A,6 years,15,65.2,6.92,169.63,73186,26.01,6425,100,3,34000,5500,Fully Paid
60 months,C5,C,2 years,15,39.8,14.99,364.51,71810,16.32,2566,100,6,32000,15325,Fully Paid
60 months,D2,D,10+ years,15,82.2,16.55,295.34,100524,31.33,10039,100,4,74000,12000,Fully Paid
36 months,A2,A,10+ years,15,87.6,6.24,854.87,356350,18.83,39268,100,1,80000,28000,Fully Paid
36 months,C1,C,10+ years,15,54.7,12.29,424.42,28441,28.18,1969,100,3,31000,12725,Fully Paid
36 months,C2,C,10+ years,15,71,12.69,365.64,78617,16.77,10003,100,3,38500,10900,Fully Paid
36 months,B1,B,4 years,15,52.7,8.18,251.36,51074,34.73,1160,100,3,36000,8000,Fully Paid
60 months,C3,C,10+ years,15,89.1,13.33,802.29,116461,32.67,9052,100,3,81000,35000,Fully Paid
60 months,B2,B,2 years,15,29.4,9.17,521.03,234784,17.91,4705,46,10,140000,25000,Fully Paid
60 months,C5,C,4 years,15,13.2,14.33,239.09,64743,25.96,1421,100,15,60000,10200,Charged Off
36 months,A4,A,10+ years,15,63,7.26,247.97,159142,16.95,10200,100,2,64000,8000,Fully Paid
36 months,A4,A,8 years,15,63.4,7.26,216.98,389500,12.85,38709,100,1,52000,7000,Fully Paid
36 months,A1,A,10+ years,15,16.2,5.32,108.42,257000,8.07,36341,100,1,62000,3600,Fully Paid
36 months,B3,B,1 year,15,76.3,9.99,612.99,350660,13.37,33320,100,8,120000,19000,Fully Paid
36 months,C3,C,1 year,15,51.4,13.33,236.98,17700,13.46,1579,100,3,38000,7000,Fully Paid
36 months,A3,A,9 years,15,20.2,6.68,199.76,11800,3.74,341,100,6,85000,6500,Fully Paid
60 months,D2,D,6 years,15,32,16.55,372.25,441573,22.71,19726,100,11,168000,15125,Fully Paid
36 months,A4,A,3 years,15,47.1,7.26,867.9,36400,15.91,4287,100,2,120000,28000,Fully Paid
36 months,A5,A,1 year,15,55.7,7.89,876,314230,24.39,12236,100,7,125000,28000,Fully Paid
36 months,A5,A,10+ years,15,77.6,7.89,750.86,73300,38.8,4738,100,0,53692.2,24000,Charged Off
36 months,A4,A,10+ years,15,68.3,7.49,901.95,64416,4.62,7315,100,1,270000,29000,Fully Paid
36 months,B2,B,10+ years,15,68.3,9.17,510.07,53939,20.66,4108,100,5,55000,16000,Charged Off
36 months,C2,C,< 1 year,15,60.5,12.69,120.77,19600,16.88,1505,100,6,28788,3600,Fully Paid
36 months,A2,A,4 years,15,64.2,6.39,351.89,116130,25.67,6387,100,3,78000,11500,Fully Paid
36 months,A1,A,2 years,15,31.5,5.32,397.52,129868,26.73,3530,100,7,80000,13200,Fully Paid
36 months,C1,C,10+ years,15,68.2,12.29,500.3,32800,14.91,2238,100,6,50000,15000,Fully Paid
36 months,B3,B,10+ years,15,45.7,9.99,154.86,244996,24.98,16980,100,2,85000,4800,Fully Paid
36 months,B1,B,2 years,15,83.9,8.18,471.3,358832,21.27,21371,100,3,53000,15000,Fully Paid
36 months,A5,A,3 years,15,76.2,7.89,825.95,89229,20.06,6795,100,2,100000,26400,Fully Paid
36 months,B1,B,< 1 year,15,50.7,8.18,251.36,97354,28.78,3698,100,6,45000,8000,Fully Paid
36 months,A3,A,10+ years,15,73.1,6.89,616.54,239331,22.62,26580,100,1,75000,20000,Fully Paid
36 months,D3,D,,15,52,16.99,161.31,41486,29.62,2629,100,6,30300,4525,Charged Off
60 months,B2,B,< 1 year,15,55.6,9.17,333.46,53387,7.04,1967,100,5,185000,16000,Charged Off
60 months,C2,C,10+ years,15,57.4,12.69,742.81,471820,16.86,34509,100,5,80000,32875,Fully Paid
36 months,B4,B,9 years,15,93.1,10.99,523.75,276174,16.27,15397,100,4,115000,16000,Fully Paid
36 months,A5,A,3 years,15,44,8.19,157.13,64710,15.24,3616,100,3,43000,5000,Fully Paid
36 months,A4,A,9 years,15,35.1,7.49,86.31,16205,13.07,1491,100,3,28000,2775,Fully Paid
60 months,B4,B,10+ years,15,57.6,10.64,280.33,58283,15.44,5671,54,2,51000,13000,Fully Paid
60 months,C3,C,10+ years,15,67,13.33,412.61,67967,25.2,4006,100,10,59000,18000,Charged Off
36 months,A2,A,2 years,15,15.6,6.39,165.24,42715,4.94,2736,100,3,150000,5400,Fully Paid
36 months,D5,D,8 years,15,47.4,17.86,586.34,43123,28.99,1739,100,3,32500,16250,Fully Paid
60 months,C1,C,8 years,15,60.7,12.29,291.09,205153,16.65,14385,100,5,76664,13000,Charged Off
36 months,A3,A,4 years,15,32.5,6.89,863.16,543400,16.77,18803,100,6,167000,28000,Fully Paid
36 months,C4,C,1 year,15,74.3,13.67,544.29,147142,25.9,8800,100,11,55000,16000,Fully Paid
36 months,A5,A,4 years,15,21.6,7.89,450.52,78268,18.22,1514,100,11,52500,14400,Fully Paid
36 months,B2,B,10+ years,15,36.7,9.17,637.58,693783,7.32,149648,100,0,121000,20000,Fully Paid
60 months,B3,B,10+ years,15,25,9.99,318.64,295022,27.4,17111,100,4,68000,15000,Fully Paid
36 months,C4,C,8 years,15,48.9,13.99,205.04,25661,8.6,1194,100,6,54000,6000,Fully Paid
60 months,B5,B,4 years,15,45.2,11.53,330.12,210297,29.57,10504,100,6,45000,15000,Fully Paid
36 months,B5,B,8 years,15,96.3,11.53,118.77,201417,37.8,16026,100,6,70000,3600,Fully Paid
36 months,B1,B,3 years,15,50,8.18,263.93,303154,31.29,22261,100,8,54000,8400,Fully Paid
60 months,D1,D,10+ years,15,57.7,15.59,662.78,362562,23.92,42873,100,4,90000,27500,Charged Off
36 months,A4,A,10+ years,15,85.8,6.92,863.54,276970,18.75,24860,100,6,176000,28000,Fully Paid
60 months,C1,C,10+ years,15,57.5,11.99,667.19,460672,30.02,22394,100,4,80000,30000,Fully Paid
60 months,C4,C,1 year,15,63.7,13.99,558.32,217177,27.94,16361,100,5,110000,24000,Fully Paid
36 months,C1,C,10+ years,15,45.9,12.29,400.24,65100,34.61,1051,100,13,45000,12000,Late (31-120 days)
60 months,D4,D,7 years,15,29,17.57,679.33,66199,10.66,2831,100,6,57300,27000,Fully Paid
36 months,B3,B,< 1 year,15,90.3,9.99,290.37,132518,23.75,12722,100,3,28000,9000,Fully Paid
36 months,A2,A,2 years,15,85.9,6.49,520.96,74922,14.07,7487,100,1,75000,17000,Fully Paid
36 months,A1,A,,15,30.2,5.32,301.15,143677,15.18,10899,100,5,54000,10000,Fully Paid
60 months,B5,B,2 years,15,44.3,11.53,290.51,32648,18.23,1512,100,1,54702,13200,Fully Paid
60 months,E4,E,1 year,15,67.1,19.99,529.77,119641,24,9302,100,5,50000,20000,Fully Paid
36 months,A1,A,3 years,15,80.5,5.32,602.3,11600,2.43,9336,100,0,84000,20000,Fully Paid
36 months,A5,A,10+ years,15,72.8,7.89,657,325757,16.91,24218,100,4,158000,21000,Fully Paid
36 months,B2,B,2 years,15,68.5,9.17,669.46,296020,32.23,17611,100,2,71000,21000,Fully Paid
36 months,A1,A,10+ years,15,36.1,5.32,602.3,333996,28.28,10346,100,6,80000,20000,Fully Paid
36 months,B3,B,8 years,15,82.4,9.99,645.25,55675,25.41,3950,100,5,65000,20000,Fully Paid
36 months,A1,A,,15,17.4,5.32,451.73,292000,9.15,8152,100,7,43000,15000,Charged Off
36 months,A1,A,10+ years,15,53.4,5.93,455.86,118643,19.98,6731,100,2,104000,15000,Fully Paid
36 months,B2,B,10+ years,15,43,9.17,510.07,216707,19,12916,100,9,72400,16000,Fully Paid
60 months,C2,C,10+ years,15,45.1,12.99,796.18,411333,17.93,26630,100,5,80000,35000,Fully Paid
60 months,D4,D,10+ years,15,73.9,17.57,880.61,211730,17.85,13567,71,1,98000,35000,Fully Paid
36 months,B1,B,3 years,15,38.6,8.18,392.75,47499,12.39,4568,100,6,40000,12500,Fully Paid
36 months,A4,A,9 years,15,36.9,6.92,246.73,40157,14.88,4325,100,3,70000,8000,Fully Paid
36 months,A5,A,2 years,15,56.1,7.89,206.49,109651,11.4,12201,100,1,40000,6600,Fully Paid
60 months,E1,E,10+ years,15,72.2,18.25,857.8,505412,18.54,37912,100,2,120000,33600,Charged Off
60 months,D4,D,2 years,15,94.4,17.57,362.31,68535,12.82,3989,100,4,155000,14400,Fully Paid
36 months,A1,A,10+ years,15,81.9,5.32,602.3,42600,5.05,8719,100,7,118000,20000,Fully Paid
36 months,B4,B,10+ years,15,93.8,11.44,263.58,587833,11.82,30121,100,4,94000,8000,Fully Paid
36 months,A1,A,4 years,15,59.4,5.32,481.84,81027,14.71,4333,100,3,120000,16000,Fully Paid
36 months,C4,C,1 year,15,88.6,13.99,170.87,66042,11.23,13604,100,3,72000,5000,Fully Paid
36 months,A2,A,10+ years,15,14,6.49,245.16,416686,10.68,20788,100,6,145000,8000,Fully Paid
36 months,A5,A,10+ years,15,54,8.19,377.09,563501,26.51,74739,100,4,80000,12000,Fully Paid
36 months,A2,A,10+ years,15,22.5,6.39,260.1,85836,13.61,2610,100,6,80000,8500,Fully Paid
36 months,E2,E,2 years,15,72.1,18.55,182.15,15537,19.2,1112,100,3,22000,5000,Fully Paid
60 months,C3,C,8 years,15,54.2,13.33,687.68,56400,25.43,1230,100,8,90000,30000,Fully Paid
36 months,C3,C,2 years,15,57.1,13.33,270.83,33878,8.06,1380,100,1,100000,8000,Fully Paid
36 months,A4,A,10+ years,15,53.7,7.49,777.55,249877,19.17,28512,54,3,99413,25000,Fully Paid
36 months,B4,B,3 years,15,98.9,10.99,274.97,28333,19.11,6184,100,2,38000,8400,Fully Paid
60 months,C2,C,10+ years,15,90.6,12.69,338.93,423909,12.63,30458,100,6,165000,15000,Late (31-120 days)
36 months,E2,E,3 years,15,71.2,18.49,262.99,119500,31.55,8510,100,9,26665,7225,Charged Off
36 months,A1,A,4 years,15,17.4,5.32,391.5,121400,8.42,2278,100,7,68000,13000,Fully Paid
36 months,A3,A,10+ years,15,13,6.89,308.27,262899,15.05,8036,100,6,50000,10000,Fully Paid
36 months,A5,A,10+ years,15,24.4,7.89,375.43,298268,20.25,12177,100,6,110000,12000,Fully Paid
36 months,C1,C,10+ years,15,40.6,12.29,333.53,249079,26.58,29166,100,7,75000,10000,Fully Paid
36 months,A2,A,5 years,15,17.4,6.39,611.98,120187,7.33,2293,100,1,150000,20000,Fully Paid
36 months,B5,B,3 years,15,72.2,11.22,656.86,26326,11.01,5631,100,2,80000,20000,Charged Off
36 months,A1,A,2 years,15,32.4,5.32,301.15,40812,6.54,1557,100,2,60000,10000,Fully Paid
36 months,A4,A,< 1 year,15,27,7.26,991.88,173833,12.34,1976,100,7,126880,32000,Fully Paid
36 months,C3,C,3 years,15,26.2,13.33,677.07,53476,9.57,1170,100,8,93321,20000,Charged Off
60 months,C5,C,10+ years,15,49.7,14.48,587.95,121924,34,3615,77,4,61000,25000,Charged Off
36 months,A5,A,3 years,15,19.2,7.89,312.86,65631,12.37,2042,100,4,60000,10000,Fully Paid
36 months,C3,C,< 1 year,15,27.9,13.33,170.96,35603,18.24,1390,100,8,31200,5050,Charged Off
60 months,C2,C,10+ years,15,82.4,12.99,796.18,634518,18.27,56308,100,1,290000,35000,Charged Off
36 months,B4,B,10+ years,15,75.2,10.99,320.8,243911,2.07,45718,100,1,95000,9800,Fully Paid
36 months,A2,A,10+ years,15,97.4,6.24,213.72,392508,21.81,52652,100,1,105000,7000,Fully Paid
60 months,E2,E,10+ years,15,52.7,18.49,603.03,126618,19.79,6967,100,5,49000,23500,Fully Paid
60 months,B3,B,10+ years,15,59.1,9.99,626.65,322937,15.74,36318,100,4,100100,29500,Fully Paid
36 months,A5,A,10+ years,15,3.6,7.89,625.72,134167,13.09,15441,100,4,165000,20000,Fully Paid
36 months,A2,A,7 years,15,30,6.39,764.98,602838,13.14,49157,100,4,85000,25000,Fully Paid
36 months,C5,C,5 years,15,67.6,14.48,412.94,54685,21.66,5175,76,7,60000,12000,Fully Paid
36 months,C2,C,3 years,15,61.8,12.69,603.81,294677,29.23,22506,100,6,82000,18000,Fully Paid
36 months,A1,A,10+ years,15,55.8,6.03,194.79,161890,16.71,14893,100,4,65000,6400,Fully Paid
36 months,A3,A,7 years,15,98.9,6.89,154.14,70127,24.96,10067,100,2,75000,5000,Fully Paid
36 months,B3,B,3 years,15,43.7,9.99,161.32,46804,25.89,3119,100,3,28600,5000,Fully Paid
36 months,A1,A,10+ years,15,54.2,6.03,865.9,218680,8.8,16893,100,5,100000,28450,Fully Paid
36 months,A5,A,10+ years,15,58.1,7.89,503.7,47994,28.02,1650,100,5,35000,16100,Fully Paid
36 months,A5,A,10+ years,15,43.1,7.89,488.06,336334,23.97,19778,100,6,120000,15600,Fully Paid
36 months,B2,B,8 years,15,88.9,9.49,243.42,38780,28,5490,100,1,27000,7600,Fully Paid
36 months,C2,C,< 1 year,15,68.2,12.99,202.14,40550,34.45,2492,100,7,20000,6000,Fully Paid
36 months,A5,A,10+ years,15,79.2,7.89,938.57,39100,10.98,3440,100,3,80987,30000,Fully Paid
36 months,A4,A,10+ years,15,67.1,6.92,771.02,174031,20.47,11017,100,1,92000,25000,Fully Paid
36 months,B1,B,7 years,15,22.9,8.67,303.81,52240,11.41,3075,100,4,55000,9600,Charged Off
36 months,A1,A,< 1 year,15,37.9,5.32,421.61,140575,4.88,7550,100,4,132000,14000,Fully Paid
36 months,C3,C,< 1 year,15,46.2,13.33,1117.16,405371,19.11,14633,100,10,120000,33000,Fully Paid
36 months,B5,B,10+ years,15,58.3,11.53,197.95,152443,14.35,13288,100,9,52000,6000,Fully Paid
36 months,A4,A,< 1 year,15,22.9,7.26,464.95,73535,17.74,1580,100,6,52000,15000,Fully Paid
36 months,B3,B,1 year,15,60.3,9.99,774.3,316682,17.95,13103,100,8,78000,24000,Fully Paid
36 months,A5,A,10+ years,15,29.8,7.89,250.29,43361,10.91,1017,100,9,80400,8000,Fully Paid
60 months,C1,C,7 years,15,57.4,12.39,377.03,140338,18.29,14781,100,7,38000,16800,Charged Off
36 months,B3,B,3 years,15,79.5,9.99,806.57,135192,25.49,6132,100,2,99000,25000,Fully Paid
60 months,C2,C,5 years,15,26,12.69,372.82,81089,15.27,4302,100,3,43000,16500,Fully Paid
36 months,C1,C,1 year,15,98.6,12.29,346.88,207425,14.41,15709,100,1,50960,10400,Fully Paid
36 months,A4,A,1 year,15,76.5,7.26,309.97,73731,19.66,9885,100,2,71000,10000,Fully Paid
36 months,B3,B,1 year,15,57.7,9.99,309.72,114146,22.12,8067,100,6,75000,9600,Fully Paid
36 months,B2,B,4 years,15,31.3,9.17,217.58,95051,26.98,6886,100,4,64000,6825,Fully Paid
36 months,A5,A,10+ years,15,77.9,7.89,312.86,51806,8.34,2341,100,6,115000,10000,Fully Paid
36 months,B1,B,1 year,15,29.5,8.18,153.96,85245,31.41,5074,100,4,40000,4900,Fully Paid
36 months,C1,C,3 years,15,48.3,12.29,1000.59,91893,20.57,4783,100,2,104000,30000,Fully Paid
36 months,B5,B,10+ years,15,76.6,11.53,527.85,110441,20.44,10347,100,4,150000,16000,Charged Off
36 months,C2,C,8 years,15,75.5,12.99,370.59,353631,29.98,28191,100,5,70000,11000,Fully Paid
36 months,A1,A,10+ years,15,49.7,6.03,395.67,77100,8.23,2394,100,3,75000,13000,Fully Paid
60 months,B4,B,10+ years,15,97.8,10.99,608.65,164382,16.53,17237,100,3,115000,28000,Fully Paid
36 months,A5,A,2 years,15,39.1,7.89,187.72,61414,18.96,4038,100,3,35000,6000,Charged Off
36 months,A5,A,10+ years,15,63.4,7.89,375.43,664962,18.8,82540,100,1,100000,12000,Fully Paid
36 months,C2,C,,15,38.8,12.69,251.59,35661,29.96,2235,100,5,30000,7500,Fully Paid
60 months,C4,C,5 years,15,71.3,13.99,325.69,209147,19.47,16678,100,4,75000,14000,Fully Paid
